$Data,$aa,$acap,$aexp,$b,$cplx,$docu,$etat,$flex,$kloc,$ltex,$pcap,$pcon,$plex,$pmat,$pr,$prec,$pvol,$rely,$resl,$ruse,$sced,$site,$stor,$team,$time,$tool,<effort,<months,<defects,<risks
2.433,1.304,3.451,2.159,7.869,3.944,4.343,2.372,3.263,44.161,3.151,3.054,1.418,1.06,2.738,4.232,4.653,2.797,2.275,1.957,4.288,3,4.331,3.371,2.653,3.461,2,293.061,20.713,2908.584,0
2.735,2.245,3.303,2.393,9.595,3.738,1.362,2.503,2.011,63.033,2.62,3.208,4.379,1.319,2.972,2.159,4.705,2.797,1.847,1.236,3.766,3,5.045,3.573,2.044,3.516,2,215.354,19.197,5026.431,1.072
2.564,1.294,3.651,3.1,8.261,3.718,3.587,1.686,3.691,32.234,3.229,3.409,2.552,1.104,2.908,4.122,4.784,4.379,1.355,1.598,4.014,3,5.816,3.157,3.085,3.419,2,162.141,17.099,1591.123,1.072
2.411,2.083,3.353,3.024,9.464,2.635,4.937,1.31,4.545,57.466,3.238,3.092,1.318,2.33,2.346,5.963,4.772,3.998,2.217,1.761,2.24,3,2.029,3.385,3.995,3.969,2,303.786,20.619,1580.046,0
2.049,1.809,3.039,2.239,5.786,2.568,3.999,5.566,1.053,38.987,3.898,3.86,4.121,2.207,2.851,4.627,4.153,2.039,1.876,2.212,4.212,3,1.024,3.982,1.828,3.318,2,227.096,19.638,891.696,2.145
2.863,1.135,3.709,2.534,9.538,3.538,1.575,1.587,3.741,115.325,2.923,3.58,2.709,3.142,2.933,2.621,3.089,2.271,3.161,2.966,5.125,3,2.832,3.219,4.123,3.046,2,367.297,21.999,7222.276,0
2.685,1.603,3.128,2.045,6.505,1.864,2.187,3.413,2.941,13.961,3.451,3.995,3.159,1.92,2.369,4.477,4.599,3.068,2.74,3.173,2.657,3,5.3,3.109,4.086,3.466,2,42.694,11.277,187.003,0
2.247,1.646,3.13,3.601,5.728,3.024,2.409,2.877,1.182,18.299,2.954,3.33,2.265,2.037,2.768,1.147,4.933,2.624,2.404,1.645,2.463,3,4.476,3.252,1.744,3.93,2,74.643,13.993,1003.236,0
3.01,1.724,3.585,3.154,8.873,2.32,3.021,2.37,1.726,11.095,1.267,3.707,3.928,3.763,2.996,5.304,4.928,2.944,1.775,2.761,4.117,3,3.477,3.373,4.546,3.176,2,53.554,12.33,130.278,1.34
2.162,2.801,3.021,2.092,9.654,2.687,4.373,5.439,3.915,21.782,2.417,3.868,3.52,3.531,2.71,3.742,2.416,3.224,3.1,2.298,3.797,3,2.917,3.627,4.46,3.159,2,117.337,15.636,303.901,0
