$Data,$aa,$acap,$aexp,$b,$cplx,$docu,$etat,$flex,$kloc,$ltex,$pcap,$pcon,$plex,$pmat,$pr,$prec,$pvol,$rely,$resl,$ruse,$sced,$site,$stor,$team,$time,$tool,<effort,<months,<defects,<risks
2.448,1.436,3.303,2.068,3.332,3.553,2.998,5.227,4.469,60.233,2.529,3.35,1.948,3.579,2.098,1.087,1.866,3.071,2.397,1.72,4.482,3,3.921,3.931,3.379,3.798,2,302.251,21.342,4742.314,0
2.216,2.752,3.915,2.06,3.92,3.007,3.396,5.378,4.08,156.488,1.743,4.523,1.683,3.087,2.437,1.871,1.196,4.381,1.441,4.013,5.117,3,4.21,3.943,4.865,3.275,2,562.951,25.053,5678.501,1.609
2.001,2.68,3.127,2.845,4.965,3.803,4.019,4.994,2.074,215.696,2.509,4.468,2.925,3.957,2.463,2.047,3.298,2.246,2.784,4.913,4.541,3,3.918,3.944,3.961,3.46,2,1029.099,30.004,2327.576,0.536
2.707,2.094,3.363,2.308,4.033,3.668,4.812,1.671,2.788,134.444,1.805,4.956,2.344,3.836,2.569,5.633,1.624,4.541,3.977,1.238,4.568,3,3.271,3.961,2.245,3.557,2,980.913,31.441,11287.857,0
2.03,4.246,3.502,3.326,3.666,3.802,4.796,4.979,1.942,44.324,1.455,3.998,4.069,2.204,2.746,2.519,1.001,2.838,3.611,3.447,2.753,3,2.073,3.41,1.336,3.159,2,283.143,21.303,1018.184,0.536
2.412,1.426,3.263,4.47,7.758,3.498,2.575,5.222,4.301,104.445,2.31,3.98,1.893,3.878,2.257,1.079,2.485,4.23,1.507,1.438,5.367,3,4.303,3.104,2.051,3.547,2,363.851,22.699,7751.21,1.072
2.349,2.129,3.761,2.704,5.901,2.178,3.559,5.419,1.592,27.947,3.873,3.763,1.83,3.515,2.087,3.493,2.691,4.973,3.511,2.434,2.211,3,2.931,3.313,4.323,3.781,2,165.645,17.95,432.522,0
2.679,2.173,3.1,3.018,9.157,3.741,4.069,4.753,3.549,282.208,1.415,3.074,2.967,3.81,2.351,1.83,1.125,2.94,3.013,1.246,4.287,3,4.383,3.569,4.977,3.116,2,1012.208,30.722,8048.971,0.268
2.162,1.118,3.778,3.528,4.935,3.194,2.484,4.627,4.13,232.316,2.683,3.487,1.215,2.614,2.215,1.208,1.92,3.315,1.133,4.277,4.813,3,4.537,3.012,1.93,3.252,2,557.909,24.969,15980.857,1.072
3.289,2.057,3.055,3.235,5.784,2.515,4.695,5.838,3.353,159.943,2.666,4.252,3.826,3.316,2.263,5.104,2.072,2.544,2.735,3.266,4.574,3,3.717,3.951,3,3.372,2,777.983,28.049,2105.46,0.536
4.593,1.376,3.274,2.062,6.625,3.817,1.843,4.711,4.697,83.927,2.181,3.188,1.728,2.727,2.097,4.147,2.224,3.041,3.751,1.398,4.244,3,4.115,3.164,4.46,3.764,2,547.552,25.195,6323.2,0
2.902,2.825,4.554,2.996,3.632,3.89,3.866,2.831,1.289,64.652,2.647,3.782,1.022,2.376,2.04,1.026,3.12,4.468,2.499,4.139,5.172,3,4.182,3.744,3.055,3.425,2,435.587,23.597,4442.599,0.536
2.727,1.784,3.333,2.159,9.013,3.971,3.845,5.561,2.403,105.277,2.961,3.52,2.499,3.421,2.033,3.913,3.171,2.032,2.75,1.354,4.477,3,4.429,3.208,4.21,3.495,2,442.48,23.988,2127.932,0
2.036,1.171,4.137,2.06,8.124,3.804,3.412,5.184,2.605,217.938,2.644,3.835,4.737,3.421,2.577,1.971,1.451,2.472,3.551,1.552,5.458,3,4.126,3.478,3.624,3.275,2,720.043,28.38,5643.983,0
2.768,2.851,3.199,3.103,3.864,3.003,4.686,2.741,3.733,63.956,2.739,3.918,3.5,3.996,2.023,5.032,3.137,4.07,1.38,4.567,5.534,3,3.678,3.466,1.082,3.101,2,194.547,18.056,2031.379,1.072
2.469,5.252,4.337,2.908,7.23,3.849,3.996,5.095,3.32,22.928,1.796,3.65,2.333,3.662,2.007,1.14,2.957,2.684,2.196,1.043,4.683,3,4.979,3.693,3.548,3.308,2,105.647,15.286,507.841,0.804
