$Data,$aa,$acap,$aexp,$b,$cplx,$docu,$etat,$flex,$kloc,$ltex,$pcap,$pcon,$plex,$pmat,$pr,$prec,$pvol,$rely,$resl,$ruse,$sced,$site,$stor,$team,$time,$tool,<effort,<months,<defects,<risks
2.755,2.991,3.928,2.171,3.167,1.583,1.515,2.28,2.291,56.965,1.465,4.981,1.122,3,2.797,3.361,1.508,3.982,1.072,2.452,5.621,3,3.157,3.907,3.937,3.173,2,158.516,17.469,6782.043,2.145
3.296,4.034,3.349,3.468,9.08,1.924,1.593,3.88,2.204,48.038,2.966,4.215,2.006,3.648,2.588,5.471,1.318,4.183,1.035,2.559,5.18,3,2.431,3.638,4.575,3.312,2,178.524,17.704,2381.819,2.145
2.4,3.415,4.644,3.116,6.801,1.189,1.407,4.789,2.742,61.489,3.417,3.438,2.486,2.135,2.002,3.963,2.275,4.132,3.03,1.419,4.508,3,3.386,3.675,1.252,3.357,2,198.903,19.047,3757.994,0.536
3.09,5.592,3.562,4.549,5.198,3.448,2.471,4.817,3.207,181.644,1.557,3.443,3.035,1.752,2.115,1.477,1.067,4.902,2.425,2.214,5.44,3,1.422,3.381,3.571,3.615,2,1711.821,36.529,16686.235,0.268
3.195,1.059,4.92,4.935,7.176,1.262,3.69,5.383,2.443,221.08,3.366,4.171,3.781,2.101,2.809,2.607,2.547,2.67,2.739,4.585,4.832,3,2.892,3.596,2.279,3.043,2,507.847,24.628,2123.272,2.145
2.302,5.889,3.5,4.779,5.15,3.485,3.355,4.225,1.81,280.771,3.707,3.978,4.001,3.357,2.815,1.553,3.732,3.552,3.457,3.332,5.761,3,3.646,3.737,1.357,3.642,2,1150.882,32.055,4560.267,0
3.971,2.563,3.913,2.207,6.467,3.092,4.101,5.683,4.167,191.131,3.867,3.46,4.042,3.678,2.32,1.542,2.845,4.336,1.322,2.982,3.668,3,4.696,3.817,3.319,3.497,2,697.774,26.372,3763.06,1.072
2.268,3.079,3.642,3.054,4.237,1.927,3.75,3.428,3.867,331.587,3.452,3.122,3.16,3.621,2.273,4.154,4.842,4.887,3.288,4.64,4.42,3,3.63,3.862,3.447,3.953,2,888.014,27.693,3638.869,0
4.808,1.529,4.017,3.451,4.282,3.552,2.383,5.21,3.525,40.199,1.694,4.63,2.006,2.639,2.765,5.923,1.917,2.167,2.858,2.151,5.662,3,4.991,3.761,2.016,3.225,2,255.963,20.415,1966.086,1.072
3.278,4.916,4.173,3.464,7.588,1.58,3.801,1.451,3.831,285.709,1.193,3.525,3.673,3.147,2.307,1.158,2.033,2.24,3.856,3.712,3.815,3,5.423,3.416,4.655,3.898,2,875.589,28.552,2652.584,0.804
3.271,3.58,3.57,2.251,4.156,1.117,3.85,1.194,3.721,126.138,3.297,3.391,1.622,3.67,2.975,5.121,2.428,3.572,2.856,3.34,5.431,3,5.935,3.639,3.852,3.058,2,523.953,24.128,2203.626,0
4.78,5.002,4.051,3.799,6.349,2.99,1.323,2.94,2.254,335.469,1.957,4.13,4.052,2.427,2.944,2.571,3.963,3.033,2.855,1.615,3.985,3,4.107,3.11,3.339,3.949,2,1032.457,30.551,9485.035,1.072
2.762,1.218,3.513,4.76,4.934,1.471,2.309,2.855,2.972,71.33,2.256,3.98,1.825,3.665,2.375,1.265,3.45,4.34,1.908,4.538,2.854,3,4.413,3.176,4.278,3.78,2,169.22,17.107,1107.324,1.072
4.996,2.106,3.325,4.914,8.892,3.287,1.601,1.619,4.858,102.32,1.971,3.789,4.158,3.255,2.653,5.445,2.368,2.649,2.112,3.679,3.614,3,4.561,3.916,2.628,3.107,2,248.558,19.363,3188.789,0.268
4.781,4.114,3.082,3.127,4.099,2.536,4.855,5.99,1.499,284.088,3.735,4.539,4.369,1.349,2.607,1.219,4.031,2.115,1.068,1.555,4.104,3,5.669,3.421,2.701,3.65,2,858.245,29.707,3159.796,1.609
3.808,2.028,4.112,3.845,9.133,2.523,2.334,1.264,1.098,21.364,2.662,3.615,3.985,2.676,2.987,2.714,3.824,2.711,3.872,4.651,4.498,3,4.387,3.587,4.74,3.957,2,86.141,14.101,252.544,0
4.847,3.713,4.384,4.878,5.566,2.478,1.881,4.862,3.105,85.131,2.502,3.576,3.086,2.293,2.287,2.539,3.998,4.793,3.079,2.802,4.035,3,4.754,3.628,4.664,3.477,2,277.009,20.015,1074.762,0
2.807,4.504,4.587,3.147,9.567,1.064,3.626,1.681,4.276,88.535,1.581,3.511,3.612,3.21,2.654,5.055,2.006,4.372,1.009,3.206,5.141,3,2.257,3.795,3.747,3.75,2,276.79,20.244,3053.004,2.413
3.911,3.945,4.922,4.551,5.505,1.065,4.321,2.502,1.436,355.987,3.016,3.17,1.458,3.265,2.171,4.276,3.524,3.542,3.311,1.421,4.73,3,2.465,3.03,2.348,3.805,2,1993.212,38.782,10998.322,0.536
2.518,2.443,4.665,3.26,9.507,1.824,4.59,2.347,1.322,32.292,3.695,4.955,1.792,1.415,2.372,1.068,2.152,4.274,2.458,2.408,5.489,3,1.326,3.687,3.6,3.398,2,235.981,19.841,2325.607,2.145
