$Data,$aa,$acap,$aexp,$b,$cplx,$docu,$etat,$flex,$kloc,$ltex,$pcap,$pcon,$plex,$pmat,$pr,$prec,$pvol,$rely,$resl,$ruse,$sced,$site,$stor,$team,$time,$tool,<effort,<months,<defects,<risks
2.74,2.633,3.187,4.499,6.331,1.671,1.167,1.718,1.263,370.86,3.825,3.028,2.014,2.389,2.581,5.201,1.214,4.467,1.685,3.7,3.668,3,1.339,3.416,4.4,3.694,2,1514.049,34.831,26859.701,1.072
4.826,3.634,3.113,2.313,4.167,3.456,1.914,1.514,1.218,344.007,3.039,4.253,1.907,2.411,2.628,2.327,2.675,2.659,1.633,1.271,2.277,3,2.871,3.079,3.703,3.732,2,1490.001,34.759,43065.462,1.609
2.53,2.327,3.076,4.308,7.848,3.327,1.181,2.694,1.583,382.01,2.809,3.315,4.204,1.992,2.992,2.351,1.707,3.239,1.743,2.566,3.979,3,5.972,3.215,2.413,3.959,2,884.727,30.129,20185.243,1.072
2.015,2.651,4.82,2.292,3.875,3.497,3.322,3.02,1.28,345.583,2.609,3.473,1.524,1.782,2.911,5.447,1.095,3.782,1.041,3.354,3.673,3,5.091,3.07,4.94,3.285,2,1014.785,30.373,9696.682,1.609
2.909,1.249,4.704,2.728,5.749,1.184,1.408,1.052,1.157,60.119,3.107,3.197,1.895,1.182,2.992,4.14,2.557,4.4,2.026,1.834,4.32,3,5.753,3.959,4.919,3.886,2,181.481,18.072,2738.429,1.072
3.338,1.63,3.53,2.84,3.125,1.885,4.424,1.356,2.192,375.948,3.806,3.723,3.062,2.699,2.642,4.24,2.511,4.546,1.394,2.479,3.61,3,1.615,3.318,1.263,3.699,2,1870.052,38.607,37142.935,2.145
2.035,5.226,4.807,2.291,7.429,2.503,3.809,1.794,1.097,243.857,3.805,3.479,3.221,1.771,2.937,3.178,1.02,4.542,1.021,3.179,5.149,3,1.439,3.063,4.332,3.277,2,1015.399,31.635,11700.007,1.609
3.009,2.137,3.365,4.463,7.709,2.898,2.552,1.95,2.515,342.667,3.94,4.655,1.011,2.743,2.478,4.126,1.728,2.803,1.892,1.953,4.047,3,2.478,3.07,3.936,3.906,2,1242.114,33.257,26843.475,1.609
2.981,2.383,3.177,4.912,4.845,1.821,1.217,4.122,2.836,339.917,1.41,4.66,1.575,1.909,2.866,5.062,2.356,3.518,1.038,2.148,2.766,3,2.04,3.325,3.108,3.24,2,995.678,30.727,22880.183,2.145
3.153,4.04,3.22,4.357,4.717,2.203,1.949,2.28,2.346,110.388,1.168,4.081,4.83,2.271,2.768,5.729,2.679,4.749,1.206,3.058,3.494,3,2.584,3.005,4.803,3.547,2,255.59,19.61,2094.653,1.609
3.252,2.093,3.381,4.918,8.807,1.281,3.395,3.986,1.785,123.437,2.353,3.672,2.347,2.152,2.552,5.618,1.069,2.981,1.299,3.15,2.586,3,2.23,3.413,4.547,3.745,2,479.041,24.353,3162.766,1.072
2.787,5.345,3.758,3.163,9.294,3.026,3.484,2.534,1.457,299.726,2.7,3.958,3.543,1.447,2.826,5.181,1.664,3.094,2.939,2.915,3.552,3,1.527,3.32,4.309,3.557,2,1374.148,33.477,8716.035,0
2.009,4.377,4.037,2.659,9.547,2.678,2.33,1.932,1.94,342.187,1.904,4.134,2.623,3.385,2.4,5.744,2.013,4.669,1.246,2.913,3.185,3,5.651,3.648,4.888,3.912,2,590.315,25.634,6291.068,2.145
2.211,5.761,3.762,3.954,9.262,2.545,3.476,2.881,2.997,273.06,3.224,3.044,3.408,1.324,2.504,2.862,1.578,4.53,1.828,3.446,3.307,3,4.028,3.312,4.894,3.473,2,775.897,27.195,4616.226,1.072
2.155,4.332,4.615,3.999,4.866,2.717,3.861,1.419,1.622,263.747,3.649,3.177,2.087,2.122,2.773,2.057,2.17,2.174,2.015,3.7,3.764,3,2.246,3.524,2.878,3.715,2,1228.508,32.434,10258.792,0.536
2.376,5.055,4.845,2.477,4.84,3.113,1.61,1.129,1.056,291.116,2.947,3.732,2.99,2.366,2.522,5.898,3.298,4.246,1.525,2.133,4.406,3,4.35,3.765,3.927,3.939,2,715.364,27.55,11536.654,1.609
2.574,4.358,3.408,3.477,4.739,1.167,2.071,1.015,2.541,158.71,2.454,4.64,3.419,2.252,2.78,2.804,4.35,4.659,1.58,2.713,5.603,3,1.447,3.099,4.472,3.794,2,579.655,25,5804.947,2.145
2.793,2.785,4.488,2.463,7.391,2.584,2.697,2.472,3.424,353.483,3.212,3.807,2.159,1.851,2.827,3.625,1.416,2.54,1.112,3.724,2.215,3,3.109,3.32,2.021,3.843,2,881.499,28.926,22615.523,1.609
2.067,3.559,4.004,3.954,6.658,2.431,3.706,1.344,1.405,237.544,1.925,3.899,1.403,1.755,2.687,1.73,1.572,2.246,2.698,3.329,5.036,3,4.743,3.267,3.691,3.703,2,1003.089,30.534,10373.996,0.804
2.925,4.04,3.248,4.055,3.818,2.186,4.801,1.549,1.84,127.852,2.831,3.499,3.166,3.198,2.975,5.023,4.55,3.575,3.767,4.7,3.466,3,1.64,3.164,3.372,3.999,2,680.775,26.154,1080.767,0
2.298,3.76,3.992,3.261,5.225,1.514,4.943,3.896,1.523,311.518,1.801,3.677,1.632,1.409,2.966,5.722,3.54,3.629,2.146,2.055,2.757,3,1.453,3.415,3.78,3.555,2,2198.122,38.661,6315.685,0.268
2.844,3.764,4.644,3.457,6.489,2.534,1.988,3.463,4.46,305.553,2.484,3.326,1.227,1.505,2.693,2.662,1.82,2.453,1.67,1.464,2.834,3,1.695,3.787,3.602,3.809,2,1281.772,33.108,31524.21,1.609
2.491,5.257,4.017,3.374,4.398,1.212,3.213,3.153,2.855,68.517,2.175,4.463,1.43,2.346,2.917,3.086,1.848,3.951,1.048,2.298,2.229,3,4.301,3.12,4.566,3.796,2,177.233,17.998,1320.567,3.217
2.789,3.395,3.57,3.673,5.108,3.363,1.242,2.481,4.46,314.247,2.617,4.311,2.275,1.793,2.627,5.748,1.807,3.278,1.745,4.53,2.784,3,3.603,3.142,1.508,3.6,2,608.392,25.407,16536.429,1.609
2.294,4.722,4.166,4.03,8.074,1.27,3.997,1.27,2.391,79.936,3.049,3.449,2.185,1.535,2.852,3.777,1.388,4.949,1.977,3.756,3.094,3,4.911,3.345,3.181,3.41,2,205.475,18.841,1843.984,2.145
3.336,2.548,3.871,3.838,3.765,1.554,3.015,2.987,1.336,240.723,3.034,3.583,2.814,3.436,2.728,5.471,3.372,4.395,1.661,1.815,5.249,3,5.333,3.486,4.851,3.532,2,439.815,23.748,3638.441,1.072
2.689,1.458,4.35,3.086,7.19,1.204,3.538,2.377,1.342,154.743,1.018,4.065,4.883,2.011,2.664,5.168,2.503,3.95,2.448,1.714,2.342,3,2.46,3.231,4.95,3.994,2,508.809,24.699,2544.645,2.145
2.806,4.804,3.43,4.509,4.224,3.599,3.492,2.227,2.158,254.764,3.25,3.384,1.548,1.891,2.888,5.941,3.315,4.452,3.893,2.3,3.772,3,2.615,3.381,1.323,3.665,2,1175.175,32.397,14020.179,0.268
2.732,4.99,4.796,3.761,6.369,1.209,2.7,1.208,2.267,144.121,3.103,3.394,2.432,2.534,2.12,4.28,4.877,4.513,1.458,3.803,2.004,3,1.955,3.06,4.913,3.726,2,332.329,20.763,1174.481,2.145
2.11,3.03,4.495,4.94,5.816,2.661,1.288,2.225,1.758,350.983,1.468,4.21,1.613,1.179,2.017,5.981,4.8,4.357,1.468,3.27,4.334,3,1.344,3.514,4.904,3.479,2,938.605,28.708,9772.053,2.145
2.556,2.352,3.098,2.764,6.482,3.83,4.161,2.019,2.387,346.688,3.874,3.98,3.057,2.939,2.935,5.842,2.881,2.509,2.02,1.895,4.734,3,4.271,3.547,4.662,3.979,2,1077.195,31.023,8633.71,0
2.293,3.357,4.091,4.238,4.07,1.732,2.967,1.183,1.8,276.372,2.952,3.507,3.186,1.12,2.326,4.873,3.965,2.43,1.287,2.552,5.31,3,1.987,3.589,3.309,3.859,2,1163.35,31.84,12959.265,2.145
2.863,4.143,3.551,3.525,3.83,1.674,3.631,1.658,2.266,166.162,1.42,3.823,2.813,1.036,2.941,2.705,2.21,2.657,2.442,1.305,3.322,3,5.69,3.192,2.132,3.954,2,873.866,29.891,8033.478,0.268
2.665,4.19,3.23,3.846,7.508,3.755,3.261,1.04,1.487,256.527,3.764,4.511,2.014,2.57,2.918,4.009,3.909,3,3.023,1.799,3.494,3,1.808,3.528,3.58,3.624,2,1535.026,34.188,10541.587,0
3.536,2.832,4.063,3.256,4.596,2.531,2.308,1.789,4.46,246.57,3.522,3.334,1.851,2.587,2.972,5.494,2.714,3.432,1.205,1.715,5.47,3,4.816,3.311,2.795,3.963,2,918.34,29.4,19021.205,1.609
3.395,3.402,4.684,2.476,7.148,3.069,3.394,1.423,1.023,172.603,1.263,4.017,1.856,2.542,2.201,5.031,3.571,4.926,2.242,2.802,3.43,3,1.015,3.88,4.769,3.58,2,1356.226,33.272,9388.12,1.072
2.48,4.969,4.147,2.34,6.548,1.152,3.938,1.567,3.397,265.36,3.945,3.502,4.318,1.465,2.84,4.842,1.727,3.909,2.485,2.333,2.712,3,1.349,3.582,2.07,3.973,2,748.424,27.972,10301.499,1.34
2.282,4.383,3.707,2.959,6.747,1.205,1.595,5.899,2.176,206.133,3.212,3.397,3.108,1.336,2.134,4.795,4.77,4.513,1.35,3.084,4.652,3,3.229,3.172,3.88,3.976,2,725.152,26.46,2621.06,1.072
2.266,2.736,4.089,2.801,3.249,1.615,3.991,1.331,3.122,305.364,2.375,3.931,3.231,1.479,2.96,4.721,1.261,3.928,2.201,1.702,3.242,3,2.429,3.658,2.27,3.061,2,1149.926,32.368,23839.441,1.072
2.232,2.456,3.89,3.023,5.722,3.46,3.726,1.299,2.656,316.757,2.641,4.133,1.418,2.378,2.593,4.17,3.713,4.734,1.406,2.788,2.288,3,2.737,3.194,1.107,3.627,2,1424.882,34.601,25916.003,1.877
2.555,1.421,4.618,4.303,5.603,3.947,4.259,1.567,1.003,19.063,3.862,4.13,3.033,1.194,2.878,3.503,2.099,4.784,1.058,3.959,4.126,3,2.225,3.773,3.897,3.924,2,91.41,14.63,1040.463,2.145
2.417,3.421,4.609,3.376,6.734,3.915,3.792,5.628,2.461,387.697,3.396,3.197,1.469,2.482,2.972,1.462,3.283,2.536,1.586,1.595,2.115,3,3.566,3.171,4.316,3.971,2,1680.184,36.351,5622.455,1.609
