$Data,$aa,$acap,$aexp,$b,$cplx,$docu,$etat,$flex,$kloc,$ltex,$pcap,$pcon,$plex,$pmat,$pr,$prec,$pvol,$rely,$resl,$ruse,$sced,$site,$stor,$team,$time,$tool,<effort,<months,<defects,<risks
4.536,2.644,4.344,3.058,6.014,3.543,3.909,3.563,1.214,84.595,3.254,4.302,1.043,2.404,2.608,5.248,4.891,2.668,1.354,3.911,3.056,3,4.159,3.267,4.029,3.343,2,338.892,21.085,1007.032,2.145
3.613,3.47,3.972,2.832,4.826,1.653,3.021,1.552,4.901,113.25,3.097,4.285,3.75,2.462,2.532,5.968,3.438,3.119,1.091,3.317,3.988,3,1.856,3.422,1.274,3.667,2,393.763,22.527,5310.281,3.217
2.152,5.672,3.924,4.634,9.664,2.745,4.41,1.484,2.617,77.25,2.186,4.079,1.005,2.023,2.292,4.882,2.254,4.367,3.812,3.45,3.483,3,4.566,3.113,3.912,3.127,2,302.545,20.844,1228.754,0
3.29,2.548,4.95,4.426,9.908,3.199,4.703,4.821,1.016,93.475,2.687,4.581,1.626,1.823,2.796,4.334,1.146,2.665,2.507,1.045,3.668,3,3.93,3.923,3.05,3.404,2,539.415,26.815,2770.383,1.072
2.329,1.996,4.604,4.818,8.745,1.577,4.669,5.066,1.748,149.193,2.554,4.86,2.113,1.263,2.375,1.728,3.952,3.617,1.64,1.472,4.86,3,4.74,3.674,2.939,3.828,2,356.024,22.454,2800.816,3.217
4.47,1.842,4.443,4.594,6.361,2.437,4.685,2.113,3.105,128.409,2.825,4.616,2.738,3.331,2.781,5.707,3.25,2.071,1.163,1.255,4.848,3,1.724,3.473,4.622,3.349,2,372.177,22.255,2666.539,2.145
2.776,1.834,4.593,4.1,7.581,3.324,3.811,3.98,4.799,146.841,1.653,4.39,2.201,3.391,2.772,3.954,4.833,2.112,1.249,4.175,3.121,3,4.501,3.63,2.257,3.948,2,237.768,18.702,1568.577,2.145
2.594,5.43,3.949,4.471,3.58,2.365,2.73,3.312,3.963,74.341,2.816,3.611,1.406,1.753,2.833,4.099,3.806,4.091,1.824,2.564,4.279,3,4.451,3.04,1.565,3.107,2,225.13,19.198,2339.171,1.072
4.346,2.592,4.437,2.312,6.288,3.189,2.538,5.87,1.387,194.855,2.752,4.638,2.469,1.213,2.396,5.705,4.482,3.173,1.227,2.91,5.607,3,5.83,3.276,3.264,3.112,2,369.984,22.255,3570.853,2.145
2.483,2.704,4.765,2.656,9.102,2.337,3.915,5.023,4.248,224.947,2.728,3.951,1.477,2.671,2.775,4.567,4.91,4.274,1.724,1.713,2.321,3,4.501,3.151,3.343,3.608,2,601.842,25.361,2388.087,1.609
2.504,5.017,4.823,3.966,4.979,2.919,4.306,1.561,4.228,68.459,2.826,4.607,2.532,1.987,2.42,5.915,4.787,3.979,1.478,4.263,2.771,3,4.704,3.235,2.956,3.671,2,114.645,15.001,503.895,2.145
2.677,4.417,4.366,2.453,4.686,2.716,4.964,2.624,4.052,301.206,1.586,4.847,4.348,1.965,2.95,2.461,3.55,3.083,1.672,2.228,3.403,3,4.379,3.819,2.23,3.857,2,675.183,26.342,6828.605,2.145
3.289,1.233,4.023,4.202,8.624,3.291,4.589,4.45,1.599,312.762,3.09,3.338,2.324,2.292,2.314,5.438,3.97,2.442,2.606,2.833,4.672,3,4.963,3.124,4.465,3.595,2,966.151,29.595,3179.239,0.536
4.833,1.76,4.586,4.62,8.359,2.964,4.275,4.95,4.909,76.808,3.048,3.194,3.317,1.679,2.887,5.593,2.961,2.765,1.923,1.279,4.969,3,3.912,3.665,1.586,3.524,2,348.573,22.199,2575.631,1.609
2.411,2.083,3.353,3.024,9.464,2.635,4.937,1.31,4.545,57.466,3.238,3.092,1.318,2.33,2.346,5.963,4.772,3.998,2.217,1.761,2.24,3,2.029,3.385,3.995,3.969,2,303.786,20.619,1580.046,0
3.517,4.444,4.895,2.897,6.837,1.228,4.793,1.479,4.389,347.312,2.446,4.787,3.193,1.403,2.834,5.532,4.227,2.577,2.835,2.051,4.747,3,3.515,3.185,3.796,3.401,2,900.483,28.447,3892.244,2.145
3.993,3.076,4.224,2.164,5.643,1.604,4.511,3.037,3.561,39.412,3.22,4.706,4.081,3.375,2.625,5.683,1.402,3.398,1.396,1.212,2.266,3,2.756,3.869,1.992,3.11,2,114.013,15.956,1099.741,4.021
4.937,1.839,3.709,2.83,6.339,2.232,4.519,4.065,3.432,252.574,2.905,3.512,4.577,1.452,2.219,5.141,3.975,2.554,2.07,1.719,4.783,3,1.532,3.21,3.498,3.796,2,1568.788,34.293,7717.085,0
2.234,4.941,4.839,3.917,9.349,1.701,2.235,3.681,3.576,64.411,1.699,4.708,4.051,2.371,2.597,3.109,4.267,3.733,1.038,1.341,2.724,3,2.379,3.389,1.09,3.268,2,106.549,15.202,1493.535,3.485
