$Data,$aa,$acap,$aexp,$b,$cplx,$docu,$etat,$flex,$kloc,$ltex,$pcap,$pcon,$plex,$pmat,$pr,$prec,$pvol,$rely,$resl,$ruse,$sced,$site,$stor,$team,$time,$tool,<effort,<months,<defects,<risks
2.239,3.783,3.147,4.86,4.669,2.369,4.58,1.177,1.475,349.079,2.41,4.958,4.99,1.702,2.726,4.532,1.484,2.369,1.687,1.848,3.085,3,5.434,3.439,4.595,3.42,2,433.716,23.746,2704.997,1.609
3.852,2.724,3.162,4.601,7.383,1.099,4.265,1.769,3.296,373.388,1.865,4.214,3.811,3.168,2.863,4.841,2.475,2.556,1.235,2.973,4.82,3,4.879,3.804,4.852,3.945,2,840.434,27.974,4222.88,2.145
3.07,3.794,3.935,4.406,5.474,1.025,4.994,2.311,2.055,324.919,3.924,4.569,2.066,2.504,2.724,1.356,3.149,2.42,1.857,4.56,4.757,3,5.116,3.111,4.528,3.557,2,664.949,26.227,1963.522,2.145
3.121,1.799,3.891,3.337,6.485,3.439,4.105,2.182,1.663,346.411,3.681,4.861,4.014,2.977,2.5,4.185,1.311,2.045,3.61,4.5,4.429,3,4.143,3.037,4.934,3.689,2,1041.897,30.424,3301.064,0
3.984,2.831,3.246,4.859,8.904,1.365,1.942,4.607,1.767,320.48,2.65,4.809,3.787,3.252,2.921,5.357,3.392,2.096,3.062,2.893,4.03,3,5.063,3.247,4.997,3.692,2,463.489,23.819,1263.454,0.536
4.103,2.138,3.161,4.12,4.196,1.199,4.509,1.838,2.92,283.883,3.854,3.981,1.816,3.801,2.961,5.684,1.991,2.596,1.158,2.548,2.348,3,5.294,3.832,3.949,3.98,2,709.469,27.468,3688.291,1.072
2.538,5.295,3.97,4.433,5.362,1.077,4.918,1.594,3.213,378.151,1.563,4.404,4.084,1.338,2.743,3.068,4.121,2.891,2.513,4.322,4.558,3,1.995,3.256,2.784,3.532,2,861.169,27.867,3854.736,1.34
4.058,4.948,4.217,4.161,4.041,3.885,4.249,1.676,1.615,346.892,3.447,4.903,3.226,2.856,2.965,4.86,1.523,2.463,3.165,2.396,2.772,3,3.793,3.313,4.193,3.211,2,892.689,29.764,4411.577,0
2.72,2.436,4.117,4.726,8.276,2.294,4.974,1.75,1.164,296.248,2.429,4.798,4.672,2.248,2.23,3.929,1.721,2.061,3.3,4.808,3.635,3,5.976,3.796,3.46,3.62,2,442.654,23.923,1544.112,0
4.969,4.991,4.268,4.681,7.882,3.672,4.516,1.032,2.518,356.605,3.856,4.653,1.402,3.389,2.973,3.664,3.395,2.324,2.265,3.205,3.423,3,2.206,3.122,3.252,3.875,2,856.229,28.546,7381.352,1.072
4.194,3,3.952,3.961,5.89,3.003,3.405,1.175,1.881,338.984,2.256,4.903,3.725,2.931,2.585,3.737,3.876,2.987,2.87,3.835,2.247,3,3.504,3.149,4.558,3.849,2,957.326,29.121,3492.788,0.536
3.167,5.443,3.076,4.837,5.179,3.883,2.468,1.148,2.408,237.037,1.675,4.966,3.723,1.064,2.507,4.5,3.422,2.022,1.042,4.21,5.227,3,3.075,3.123,4.498,3.659,2,601.895,25.304,4826.418,1.609
3.201,5.526,3.934,3.758,7.784,2.688,4.527,1.604,4.019,300.807,3.302,4.288,2.31,1.898,2.63,2.425,1.043,2.28,3.515,2.881,4.058,3,1.488,3.338,4.274,3.574,2,1397.393,33.448,9606.513,0
3.578,5.496,3.659,4.884,8.03,1.47,4.08,2.829,2.512,360.032,2.218,4.648,4.882,2.462,2.059,1.918,3.526,3.113,2.2,4.382,2.692,3,5.64,3.405,4.917,3.492,2,309.126,20.752,789.532,1.072
4.694,4.552,3.584,3.663,6.147,2.061,4.545,1.062,1.111,160.005,2.802,4.838,4.805,3.945,2.397,4.778,1.256,2.558,1.873,4.401,2.965,3,1.42,3.088,3.576,3.224,2,407.057,23.386,1683.922,1.609
3.215,4.09,4.293,3.888,5.097,2.569,4.912,1.304,1.462,385.494,3.817,4.429,2.161,1.078,2.196,4.603,2.6,2.493,3.812,3.343,2.953,3,5.959,3.553,4.412,3.354,2,1118.024,31.194,2765.544,0
2.561,5.734,3.775,4.722,7.803,2.148,3.479,1.241,2.461,269.904,1.846,3.812,4.87,3.739,2.826,1.715,1.355,2.132,1.584,2.523,2.317,3,2.194,3.936,3.466,3.465,2,490.387,24.575,4412.928,1.34
3.37,5.071,3.196,4.922,7.47,2.577,2.33,1.492,2.037,262.025,1.001,4.707,4.063,2.108,2.435,2.257,4.086,2.676,2.936,2.812,5.928,3,2.969,3.352,4.961,3.795,2,629.043,25.646,4835.758,0.536
2.928,5.925,3.433,3.357,6.466,1.746,4.895,2.936,3.671,314.072,2.81,4.522,2.002,3.465,2.428,5.539,1.116,2.171,3.172,1.547,3.803,3,4.443,3.779,2.139,3.55,2,1112.477,32.656,5888.408,0.536
3.957,2.984,4.557,4.39,5.647,1.141,3.634,1.28,3.962,327.087,2.449,4.762,2.563,3.203,2.968,3.195,3.615,2.546,3.412,3.395,3.016,3,2.266,3.303,3.415,3.616,2,597.695,24.934,4885.852,1.072
3.61,1.003,3.488,2.402,3.774,1.168,3.434,1.547,2.791,379.744,2.228,3.922,4.122,3.654,2.771,4.067,1.995,2.239,1.143,3.735,5.402,3,5.961,3.66,4.782,3.803,2,664.31,26.601,5708.763,1.072
2.421,5.772,3.434,3.789,5.296,1.669,4.97,2.518,3.447,318.08,3.878,4.058,3.986,2.259,2.56,2.923,3.636,3.97,1.364,1.956,3.247,3,4.066,3.599,4.833,3.931,2,652.631,26.021,2379.283,2.145
2.583,2.344,3.619,3.219,6.233,2.978,4.861,3.868,1.711,301.986,2.395,4.712,4.251,3.154,2.975,1.657,1.024,4.265,1.629,3.047,2.396,3,4.112,3.088,4.39,3.69,2,976.665,30.522,4331.751,1.609
3.279,5.558,3.286,4.378,4.489,1.574,4.102,1.047,4.74,391.963,3.663,4.743,2.418,3.912,2.151,2.222,1.898,2.731,2.397,4.161,5.588,3,1.504,3.734,3.505,3.034,2,1265.609,31.404,9113.371,1.072
2.016,4.002,3.155,4.121,4.897,2.01,1.626,1.656,2.073,317.286,3.122,4.691,4.406,3.272,2.018,5.523,3.062,2.865,3.905,4.514,2.005,3,1.77,3.305,2.641,3.934,2,602.626,25.974,3471.713,0.268
4.166,4.6,3.942,3.48,4.778,1.476,4.652,1.18,4.467,322.096,3.311,4.504,3.195,3.6,2.499,3.391,1.708,2.393,3.789,2.993,5.309,3,5.683,3.146,3.282,3.568,2,747.76,27.301,3778.098,0.536
4.871,2.472,3.199,4.617,7.595,2.855,3.73,1.273,1.256,224.247,3.698,4.385,4.92,2.583,2.335,4.051,1.084,2.059,1.781,2.773,2.132,3,5.056,3.316,2.865,3.923,2,338.065,22.375,4643.558,1.609
2.773,3.837,3.431,3.414,3.458,1.893,4.729,4.491,1.864,379.521,2.763,4.57,4.804,3.894,2.85,1.297,4.463,2.604,1.712,2.229,3.354,3,2.357,3.906,2.976,3.659,2,1012.935,30.421,3253.117,2.145
3.629,5.164,3.711,2.955,3.061,1.95,4.836,2.648,3.755,383.882,1.432,4.696,3.872,1.779,2.347,1.755,3.163,3.55,2.86,3.544,2.213,3,2.69,3.207,4.092,3.547,2,1683.626,34.747,4785.952,1.072
2.727,5.693,4.441,3.44,9.369,2.865,4.083,1.19,4.622,167.705,2.682,4.97,4.843,3.118,2.749,2.669,1.331,2.492,1.035,2.633,5.59,3,2.087,3.087,4.81,3.44,2,260.514,19.776,2744.743,2.145
2.741,2.306,4.024,2.698,3.554,1.491,4.672,1.98,3.941,375.129,1.175,4.767,4.811,2.76,2.11,4.293,3.262,3.532,2.288,2.254,3.435,3,1.421,3.037,4.149,3.671,2,1408.052,32.914,6996.852,2.145
2.483,4.804,4.225,4.073,4.359,1.734,4.862,1.257,1.653,320.79,1.88,4.593,1.803,1.558,2.427,5.246,1.658,3.457,1.561,1.415,5.634,3,3.125,3.566,3.349,3.384,2,2099.112,39.178,16874.981,3.217
2.689,4.555,4.087,4.203,5.664,1.242,3.079,1.457,3.578,226.084,1.63,4.421,1.145,2.874,2.264,5.345,1.175,2.339,3.65,4.893,2.338,3,2.739,3.06,3.1,3.698,2,703.645,26.692,3883.14,1.072
2.464,2.25,3.837,4.493,4.154,1.12,4.222,1.376,3.95,354.328,1.386,3.795,2.592,2.476,2.314,1.759,1.291,2.191,2.468,4.526,3.167,3,5.496,3.041,2.3,3.716,2,846.803,28.942,7109.524,0.268
4.806,5.865,3.459,3.649,6.676,1.651,4.169,3.129,2.924,222.029,2.039,4.603,3.074,3.335,2.331,4.561,3.29,2.104,1.907,1.335,3.949,3,4.922,3.145,3.879,3.847,2,396.611,22.918,2449.015,2.145
2.572,5.507,3.32,4.103,5.162,2.955,4.024,5.014,2.646,384.589,1.815,3.87,4.611,1.554,2.833,4.218,2.061,3.352,2.978,2.771,2.319,3,5.707,3.42,4.569,3.598,2,1404.156,33.455,1574.419,0.268
3.784,3.399,4.659,4.209,9.765,2.568,4.574,1.057,2.923,273.034,3.955,4.844,4.984,3.765,2.385,3.75,2.871,2.201,2.667,1.864,5.621,3,1.732,3.544,4.733,3.41,2,436.872,23.489,2775.149,1.072
3.798,2.248,4.423,4.196,6.377,2.572,2.082,2.971,1.358,333.816,1.517,4.984,2.492,3.453,2.964,3.567,2.042,2.196,2.696,1.85,5.468,3,3.889,3.017,4.309,3.629,2,733.042,28.144,11428.402,1.072
2.087,5.971,4.345,4.295,5.333,3.303,3.579,1.978,2.138,258.232,2.932,4.706,2.492,1.794,2.596,5.292,2.702,2.867,1.46,4.37,5.882,3,1.221,3.093,4.591,3.793,2,696.43,26.519,5100.412,2.145
2.537,4.593,4.38,4.88,5.472,1.841,4.892,1.022,3.299,256.28,1.59,3.891,3.87,1.034,2.137,4.519,1.186,2.562,2.401,4.19,2.254,3,3.193,3.873,4.262,3.893,2,932.107,29.567,2647.37,1.34
